customerid,customer_name,customer_segment,territory,total_orders,total_spent,avg_order_value,first_order,last_order
29818,Roger Harui,Business,Northwest,12,989184.08,82432.01,2022-06-30,2025-03-30
29715,Andrew Dixon,Business,Southeast,12,961675.86,80139.65,2022-07-31,2025-04-30
29722,Reuben D'sa,Business,Canada,12,954021.92,79501.83,2022-07-31,2025-04-30
30117,Robert Vessa,Business,Southwest,12,919801.82,76650.15,2022-06-30,2025-03-30
29614,Ryan Calafato,Business,Canada,12,901346.86,75112.24,2022-05-30,2025-02-28
29639,Joseph Castellucio,Business,Canada,12,887090.41,73924.2,2022-07-31,2025-04-30
29701,Kirk DeGrasse,Business,Northeast,8,841866.55,105233.32,2023-07-31,2025-04-30
29617,Lindsey Camacho,Business,Northwest,12,834475.93,69539.66,2022-06-30,2025-03-30
29994,Robin McGuigan,Business,Canada,12,824331.77,68694.31,2022-05-30,2025-02-28
29646,Stacey Cereghino,Business,Southwest,12,820383.55,68365.3,2022-05-30,2025-02-28
29580,Richard Bready,Business,Northwest,12,815914.25,67992.85,2022-05-30,2025-02-28
29827,Valerie Hendricks,Business,Central,12,801766.21,66813.85,2022-05-30,2025-02-28
29497,François Ferrier,Business,Northwest,12,789884.29,65823.69,2022-05-30,2025-02-28
29716,Blaine Dockter,Business,Southwest,12,781073.72,65089.48,2022-06-30,2025-03-30
29913,Anton Kirilov,Business,Central,8,757449.68,94681.21,2023-06-30,2025-03-30
30103,Mandy Vance,Business,France,8,725867.17,90733.4,2023-06-30,2025-03-30
29957,Kevin Liu,Business,Southwest,8,718258.81,89782.35,2023-07-31,2025-04-30
29523,John Arthur,Business,Southwest,12,696703.61,58058.63,2022-06-30,2025-03-30
29616,Barbara Calone,Business,Southwest,8,695242.23,86905.28,2023-06-30,2025-03-30
30048,Marcia Sultan,Business,Canada,8,678828.84,84853.6,2023-05-30,2025-02-28
29562,Steven Brown,Business,Southwest,8,665292.38,83161.55,2022-07-31,2024-04-29
29772,Janet Gates,Business,Southwest,8,660645.94,82580.74,2023-05-30,2025-02-28
29712,Holly Dickson,Business,France,8,653973.76,81746.72,2023-06-30,2025-03-30
30107,Margaret Vanderkamp,Business,Northwest,12,650362.05,54196.84,2022-06-30,2025-03-30
29924,Mitch Kennedy,Business,Central,8,644168.16,80521.02,2023-06-30,2025-03-30
30050,Krishna Sunkammurali,Business,United Kingdom,8,631355.07,78919.38,2023-07-31,2025-04-30
29641,Raul Casts,Business,Southwest,4,606819.61,151704.9,2024-05-29,2025-02-28
29966,Richard Lum,Business,Northeast,12,605358.54,50446.55,2022-07-31,2025-04-30
29997,Lola McCarthy,Business,Northwest,8,604794.78,75599.35,2023-06-30,2025-03-30
29689,Scott Culp,Business,Northwest,8,600077.27,75009.66,2023-05-30,2025-02-28
29486,Kim Abercrombie,Business,Central,12,584949.13,48745.76,2022-07-31,2025-04-30
29522,Thomas Armstrong,Business,Southwest,12,554388.94,46199.08,2022-06-30,2025-03-30
29705,Della Demott Jr,Business,Canada,12,543440.59,45286.72,2022-06-30,2025-03-30
30112,Patricia Vasquez,Business,Northwest,8,538333.47,67291.68,2023-06-30,2025-03-30
29546,Christopher Beck,Business,United Kingdom,8,534117.56,66764.7,2023-07-31,2025-04-30
